"filename","band","tag","stage","first_set"
"logos/band_grupo_niche.png","Grupo Niche","other","Steel Stage","2026-07-30 6:00 PM"
"logos/band_sol_katana.png","Sol Katana","other","Americaplatz","2026-07-30 6:00 PM"
"logos/band_andrew_tirado.png","Andrew Tirado","other","Community Stage","2026-07-30 7:00 PM"
"logos/band_mariposas_gal_cticas.png","Mariposas Galácticas","other","Americaplatz","2026-07-30 7:30 PM"
"logos/band_rumbaile.png","Rumbaile","other","Americaplatz","2026-07-30 9:30 PM"
"logos/band_yoga_with_laurel_attanasio.png","Yoga with Laurel Attanasio","other","Americaplatz","2026-07-31 4:00 PM"
"logos/band_dan_mies_on_the_keys.png","DAN MIES on the Keys","other","Hotel Bethlehem","2026-07-31 5:30 PM"
"logos/band_opening_ceremonies.png","Opening Ceremonies","other","Festplatz","2026-07-31 5:30 PM"
"logos/band_keith_john_and_sue.png","Keith, John & Sue","other","Liederplatz","2026-07-31 5:30 PM"
"logos/band_maniya.png","Maniya","other","Americaplatz","2026-07-31 6:00 PM"
"logos/band_dr_doctor.png","Dr. Doctor","other","Jazz Cabaret","2026-07-31 6:00 PM"
"logos/band_lolly_hopwood.png","Lolly Hopwood","other","Familienplatz","2026-07-31 6:00 PM"
"logos/band_twisted_rhythm.png","Twisted Rhythm","other","Main Street","2026-07-31 6:00 PM"
"logos/band_melody_cruz.png","Melody Cruz","other","Lagerplatz","2026-07-31 6:00 PM"
"logos/band_amelia_day.png","Amelia Day","other","Zinzenplatz","2026-07-31 6:00 PM"
"logos/band_christian_moon.png","Christian Moon","other","Main Street","2026-07-31 6:00 PM"
"logos/band_lexie_valkyrie.png","Lexie Valkyrie","other","Lyrikplatz","2026-07-31 6:00 PM"
"logos/band_russell_dickerson.png","Russell Dickerson","other","Steel Stage","2026-07-31 6:00 PM"
"logos/band_lindsay_jordan_and_the_gypsies.png","Lindsay Jordan & The Gypsies","other","Stadtplatz","2026-07-31 6:00 PM"
"logos/band_cast_in_bronze.png","Cast in Bronze","other","Handwerkplatz","2026-07-31 6:00 PM"
"logos/band_lucy_juggles.png","Lucy Juggles","other","Main Street","2026-07-31 6:00 PM"
"logos/band_adrian_anthony_s_grupo_hipnosis.png","Adrian Anthony's Grupo Hipnosis","other","Plaza Tropical","2026-07-31 6:30 PM"
"logos/band_orbital_drums.png","Orbital Drums","other","Main Street","2026-07-31 6:30 PM"
"logos/band_the_tribe.png","The TRiBE","other","Liederplatz","2026-07-31 7:00 PM"
"logos/band_bren.png","Bren","other","Community Stage","2026-07-31 7:00 PM"
"logos/band_common_bond.png","COMMON BOND","other","Festplatz","2026-07-31 7:00 PM"
"logos/band_big_easy_easton_brass.png","Big Easy Easton Brass","other","Main Street","2026-07-31 7:00 PM"
"logos/band_ava_hoffman_band.png","Ava Hoffman Band","other","Lagerplatz","2026-07-31 7:00 PM"
"logos/band_payton_renee.png","Payton Renee","other","Lyrikplatz","2026-07-31 7:00 PM"
"logos/band_insun_park_and_generals.png","Insun Park & Generals","other","Americaplatz","2026-07-31 7:30 PM"
"logos/band_the_groove_merchants.png","The Groove Merchants","other","Stadtplatz","2026-07-31 7:30 PM"
"logos/band_comedyplatz_standup_comedy_showcase.png","Comedyplatz Standup Comedy Showcase","other","ComedyPlatz","2026-07-31 8:00 PM"
"logos/band_finnegan_s_wake.png","Finnegan's Wake","other","Lyrikplatz","2026-07-31 8:00 PM"
"logos/band_steal_the_sky.png","Steal the Sky","other","Festplatz","2026-07-31 8:30 PM"
